Membership No.	Start Year
1050579	2013
1048738	2013
1048685	2013
1050265	2013
1051471	2013
1051061	2013
1050114	2013
442098	2013
1051426	2013
1051691	2013
1051641	2013
1048527	2013
1050450	2013
1060806	2013
1033832	2013
1047671	2013
1050020	2013
1050640	2013
1047818	2013
1051596	2013
CINFO101	2013
1063735	2013
1050304	2013
158210	2013
1049134	2013
442258	2013
1048621	2013
1050577	2013
150944	2013
368508	2013
1047707	2013
1051457	2013
1047521	2013
1050817	2013
1050143	2013
1051432	2013
1048548	2013
1048732	2013
1132264	2013
1051080	2013
1048914	2013
1050688	2013
1052005	2013
1049390	2013
1050423	2013
1051579	2013
1048043	2013
1048666	2013
1048437	2013
1049502	2013
458881	2013
1089002	2013
1051582	2013
1087724	2013
1050745	2013
1047767	2013
1050130	2013
1051574	2013
450981	2013
1049242	2013
1001327	2013
1048559	2013
1256395	2014
1050928	2013
1046240	2013
310916	2013
1049604	2013
327282	2013
1051544	2013
1048582	2013
1051447	2013
1050833	2013
1046266	2013
1050635	2013
1046308	2013
1050569	2013
1051703	2013
1050298	2013
1051243	2013
1051492	2013
1051484	2013
1047334	2013
1047689	2013
1050936	2013
511485	2013
1060956	2013
1050734	2013
1049531	2013
1051635	2013
1051880	2015
1050187	2013
1050351	2013
1051517	2013
1050242	2013
1046239	2013
1050261	2013
1050039	2013
1049530	2013
121631	2013
1049209	2013
1047554	2013
1050138	2013
1048838	2013
1051674	2013
1048420	2013
1051078	2013
1051888	2013
1067870	2013
1047319	2013
1051560	2013
1047121	2013
1133124	2013
365044	2013
1109042	2013
1052226	2013
1047557	2013
1048561	2013
1050257	2013
1052392	2013
1051670	2013
1049460	2013
1048939	2013
1047713	2013
1111678	2013
1048903	2013
1050675	2013
1048538	2013
1050321	2013
1051592	2014
1240307	2014
1049522	2013
1049440	2013
1051688	2013
1048549	2013
1050195	2013
320487	2013
1048615	2013
1048653	2013
1051847	2013
1048523	2013
1046383	2013
1050550	2013
249382	2013
1049587	2013
1047764	2013
1046309	2013
1048920	2013
1082793	2013
1048858	2013
1049510	2013
1047662	2013
1050405	2013
1052268	2013
1050580	2013
1374062	2016
1050485	2013
1004061	2013
1050076	2013
1049276	2013
1047585	2013
1049452	2013
1051072	2013
1050592	2013
139806	2013
1050132	2013
1047127	2013
147906	2013
1081378	2013
1052384	2013
1052279	2013
1050426	2013
147280	2013
1046327	2013
1047711	2013
1047210	2013
1046277	2013
1048828	2013
511430	2013
1048554	2013
1089820	2013
137491	2013
1056702	2013
1049812	2013
1050116	2013
124729	2013
124332	2013
1050671	2013
1048623	2013
1032036	2013
1049255	2013
1049586	2013
1063732	2013
1050081	2013
1046250	2013
1059662	2013
1051673	2013
1051047	2013
1048049	2016
1077359	2013
1066834	2013
1049524	2013
1060360	2013
1050350	2013
1051320	2013
1047787	2013
1048213	2016
1048215	2016
144351	2013
1049084	2013
1050413	2013
1049547	2013
1052019	2013
1047536	2013
1048212	2015
1048850	2013
1047773	2013
1048726	2013
1051086	2013
1051113	2013
1050970	2013
445041	2013
1050565	2013
1052671	2013
1051648	2013
1047663	2013
1051431	2013
1047699	2013
1050909	2013
1050007	2013
1048922	2013
1048199	2016
1049089	2013
1050562	2013
405003	2013
1048638	2013
1049449	2013
1050543	2013
1050810	2013
1084695	2013
460293	2013
1049461	2013
1047340	2013
1057974	2013
1048941	2014
238105	2013
1050943	2013
1051805	2013
1109121	2013
154399	2013
1048678	2013
1052235	2013
1049027	2013
150900	2013
1071558	2014
508152	2013
1050200	2013
1050129	2013
1051625	2013
334200	2013
511237	2013
1328282	2015
1093047	2013
1052269	2013
1063736	2013
153909	2013
1051889	2013
1048600	2013
1051126	2013
1051875	2013
1050069	2013
1048825	2013
1048052	2015
1109682	2013
1050082	2013
1050691	2013
1048539	2013
136127	2013
1052274	2013
1081370	2013
1048737	2013
1049254	2013
1051127	2013
1050302	2013
1125979	2013
1049248	2013
1047768	2013
1051662	2013
1052419	2013
1086447	2013
1050218	2013
452014	2013
1068940	2013
1051121	2013
1061807	2013
1051045	2013
1079713	2013
1050177	2013
1056809	2013
1048918	2013
160540	2013
1048833	2013
1051598	2013
1047313	2013
268241	2013
1109224	2013
1049445	2013
1058178	2013
1048242	2013
1047223	2013
1049496	2013
1050102	2013
443771	2013
1048489	2013
1050198	2013
1049492	2013
1047324	2013
1056527	2013
1050057	2013
1048436	2013
1047326	2013
141071	2013
1047647	2013
1050914	2013
364700	2013
1047835	2013
1048240	2013
1068246	2013
1059796	2013
1049831	2013
136821	2013
1050616	2013
1048316	2014
1052285	2013
1050329	2013
1050124	2013
1050093	2013
1051323	2013
1049289	2013
1240268	2014
1050006	2013
1050380	2013
1050258	2013
1049813	2013
1050480	2013
1052022	2013
1050166	2016
1050907	2013
1049011	2013
1051445	2013
1048214	2016
1050977	2013
1046366	2013
1077083	2013
1050602	2013
1050037	2013
1049960	2013
1050354	2013
1049356	2013
1050153	2013
1063142	2013
1051487	2013
503614	2013
1048944	2013
440376	2013
1048041	2013
1109118	2013
1056731	2013
1017724	2013
1050266	2013
1051459	2013
1050296	2013
1047766	2013
452830	2013
1117010	2013
1051602	2013
1049810	2013
150332	2013
1049511	2013
1051083	2013
1048481	2013
1047120	2013
1050268	2014
1049534	2013
1051689	2013
1050769	2013
450857	2013
147382	2013
1051580	2013
1050194	2013
1051535	2013
307081	2013
140168	2013
1049934	2013
1049463	2013
1048599	2013
1050147	2013
1048690	2013
1049214	2013
1051093	2013
1050105	2013
1050097	2013
1047630	2013
507659	2013
1049197	2013
314509	2013
1050375	2013
1048688	2013
508061	2013
445019	2013
1001764	2013
1051526	2013
1046328	2013
518351	2013
1047606	2013
1049918	2013
1047190	2013
1049497	2013
1062003	2013
453163	2013
1047534	2013
1047540	2013
1048560	2013
1050685	2013
1047703	2013
1046231	2013
1048541	2013
1051452	2014
1051666	2013
1051536	2013
1050554	2013
1048580	2013
1049468	2013
448505	2013
309941	2013
1049401	2013
444730	2013
1049224	2013
1057858	2013
1115059	2013
449791	2013
1047731	2013
1050000	2013
1048531	2013
1046310	2013
1058284	2013
1051383	2013
1050070	2013
156270	2013
1056499	2013
1028101	2013
124478	2013
1049127	2013
1050724	2013
1107158	2013
370973	2013
1055782	2013
525366	2013
1061382	2013
1222969	2014
1051415	2013
1050692	2013
1048748	2013
152939	2013
1055700	2014
304618	2013
460861	2013
1049528	2013
1051654	2013
1050103	2013
1048837	2013
1049364	2013
1050674	2013
1076657	2013
1049507	2013
1050025	2013
123828	2013
1049389	2015
1049249	2013
1051160	2013
1046324	2013
450890	2013
159337	2013
1050768	2013
1050756	2013
155961	2013
1049429	2013
155391	2013
1051509	2013
1050799	2013
1293147	2014
385063	2013
1047723	2013
1066853	2013
1050472	2013
1049807	2013
1087837	2013
1051103	2013
444810	2013
140576	2013
417476	2013
1109757	2013
450802	2013
1068245	2013
1047222	2013
CINFO104	2013
1050676	2013
449621	2013
1050515	2013
1050703	2013
1052666	2013
442189	2013
135689	2013
147939	2013
1052186	2013
1051451	2013
1046320	2013
1051890	2013
400597	2013
1052083	2013
1057100	2013
1050710	2013
1047770	2013
160824	2013
1061386	2013
1047656	2013
305938	2013
1052201	2013
1047547	2013
1050377	2013
362614	2013
1048899	2013
150376	2013
1049775	2013
1051713	2013
1050937	2013
1056805	2013
1050227	2013
1046313	2013
1046115	2013
1047757	2015
1047629	2013
1047732	2013
1050364	2013
148443	2013
134595	2013
1047307	2013
453913	2013
1049488	2013
1048616	2013
1050504	2013
1056497	2013
1051370	2013
137935	2013
1050601	2013
372480	2013
1050952	2014
1050771	2013
1047645	2014
446565	2013
1300365	2014
157353	2013
1048642	2013
503567	2013
1050658	2013
1050011	2013
1050584	2013
125288	2013
1047659	2013
1050927	2013
1048251	2013
1047648	2013
1060510	2013
1051808	2013
1046264	2013
507794	2013
1051677	2013
1130806	2013
1047215	2013
1050960	2013
1083999	2013
1050470	2013
1048226	2013
1050794	2013
1050493	2013
147861	2013
1048722	2013
1051414	2013
1048526	2013
1048308	2013
1051292	2013
1068234	2013
1047209	2013
1047550	2013
1049216	2014
125164	2013
1049332	2013
1047181	2013
143971	2013
507841	2013
1046322	2013
1049395	2013
1055701	2013
1050199	2013
1050714	2013
149446	2013
1059356	2013
1047183	2013
1050092	2013
1001920	2013
121551	2013
1047774	2013
1046224	2013
1043411	2013
1263711	2014
1051804	2013
1047735	2013
1049010	2013
452659	2013
1049244	2013
1049529	2013
1048312	2013
1052266	2013
1048839	2013
1049414	2013
1064893	2013
1051440	2013
1048921	2013
1087890	2013
456219	2013
1049393	2013
457980	2013
1049271	2013
1075819	2013
146018	2013
1050564	2014
311770	2013
1049026	2013
1081376	2014
135771	2013
452896	2013
1109123	2013
1047646	2013
1050084	2013
1048613	2013
1050690	2013
453618	2013
1050389	2013
1046321	2013
1050062	2013
446011	2015
449585	2013
1050429	2013
1049446	2013
1051566	2013
1051472	2013
454676	2013
1047126	2013
1048640	2013
305441	2013
1047824	2014
446474	2013
1049230	2013
1050120	2013
1050588	2013
1076668	2013
1051412	2013
1122015	2013
1049194	2013
1050560	2013
1049495	2013
510611	2013
1050729	2013
1046296	2013
289194	2013
1010785	2013
1049370	2013
1063486	2013
456731	2013
1050975	2013
450267	2013
1049458	2013
1062103	2013
451995	2013
1050621	2013
1050059	2013
1049777	2013
452874	2013
448480	2013
154504	2013
450755	2013
1386805	2016
1049273	2013
1048819	2013
1050313	2013
1109225	2013
1050957	2013
1051468	2013
1050391	2013
1050774	2013
1050402	2013
362476	2013
1049772	2013
1048578	2014
153931	2013
1119728	2013
452901	2013
1048244	2013
1048632	2013
1046312	2013
1051291	2013
138789	2013
1051470	2013
1051450	2013
1050930	2013
1050961	2013
1051578	2013
1110460	2013
125812	2013
1047112	2013
1049600	2013
1051272	2013
1047332	2013
1050630	2013
146233	2013
1048853	2013
1051639	2013
371127	2013
1050206	2013
1034080	2014
1050140	2013
1050192	2013
200124503	2013
1050035	2013
1046363	2013
369690	2013
1050821	2013
1050311	2013
1052832	2013
1050042	2013
1051601	2013
1051295	2013
1050338	2013
1050066	2013
1051495	2013
1304987	2014
1089886	2013
1050368	2013
1050974	2013
418785	2013
1050465	2013
525242	2013
1056498	2013
456605	2013
1050151	2013
1050127	2013
1048608	2013
1052276	2013
150354	2013
1047589	2013
1051458	2013
508119	2013
136218	2013
1049185	2013
1049207	2013
1051444	2013
1109765	2013
1049241	2013
1050780	2013
1051469	2013
1046382	2013
1050113	2013
1049441	2013
1058897	2013
1050417	2013
1050681	2014
1047688	2013
1049973	2013
1048534	2013
1050228	2013
1051881	2013
1046373	2013
1050022	2013
1125922	2013
1050150	2013
1046300	2013
1050274	2013
1057681	2013
139158	2013
364143	2013
1050071	2013
1050844	2013
1047780	2013
1049982	2013
1051646	2013
307321	2013
1063155	2013
1051260	2013
1049916	2013
155380	2013
1049360	2013
1048745	2015
1048902	2013
1050225	2013
310949	2013
147983	2013
1051269	2013
1050009	2013
1047322	2013
1047339	2013
1048415	2013
1047644	2013
1049132	2013
1050061	2013
1048832	2013
1049558	2013
158345	2013
1048478	2013
1050529	2013
1048224	2013
1049939	2013
1051810	2013
449439	2013
1051089	2013
1049181	2013
1051124	2013
1055621	2013
160427	2013
1047792	2013
456638	2013
1059077	2013
306726	2013
1050726	2013
1049426	2013
1056494	2013
444683	2013
446328	2013
432731	2013
1048740	2013
506350	2013
1047805	2013
1050099	2013
365011	2013
1079064	2014
144566	2013
1051182	2013
145999	2013
1050573	2013
356156	2013
1063153	2013
1057690	2013
1048486	2013
1051501	2013
318474	2013
140984	2013
1327095	2015
137709	2013
1050491	2013
1050029	2013
125437	2013
1031568	2013
137538	2013
1050272	2013
1051623	2013
1326467	2015
1049647	2013
1050637	2013
366171	2013
1047673	2013
1046275	2013
1048851	2013
1051886	2013
1118189	2013
1275306	2014
369464	2013
516208	2013
416861	2013
1047341	2013
447295	2013
1058289	2013
1250356	2014
1051559	2013
1093482	2013
1051376	2013
1080927	2013
363752	2013
1050831	2013
1050620	2013
1051558	2014
1048589	2013
1051069	2013
1057955	2013
1052261	2013
458542	2013
1055686	2014
1122005	2013
1046267	2013
1266187	2014
502001	2013
1050553	2013
442178	2013
1051595	2013
1050284	2013
1051328	2013
1048243	2013
1050202	2013
456241	2013
1049228	2013
1049648	2013
1047681	2013
411981	2013
1047331	2013
1052207	2013
1047314	2013
1050421	2013
1049165	2013
1050708	2013
1049964	2013
145141	2013
451179	2013
1050953	2013
1113650	2013
1051110	2013
1063737	2013
1051764	2013
1047600	2013
1047716	2013
1051464	2013
1050386	2013
1049131	2013
1049948	2013
1047771	2013
1049319	2013
200124605	2013
1104014	2014
1050739	2013
418832	2013
1046347	2013
1051516	2013
1052076	2013
306045	2013
148148	2013
1047680	2013
1068247	2013
1048235	2014
153884	2013
1048901	2013
1088945	2013
145434	2013
1046298	2013
121491	2013
1051708	2013
1189984	2013
1047712	2013
1050308	2013
1050918	2013
1121729	2014
1052023	2013
152327	2013
1050056	2013
508094	2013
1050538	2013
1080222	2013
1125968	2013
1051442	2013
1051645	2013
1049286	2013
508979	2013
1049394	2013
1087860	2013
1047511	2013
1052241	2013
458575	2013
1051704	2013
1052164	2013
1079785	2013
1047819	2013
1050148	2013
1058298	2013
1046349	2013
418355	2013
372491	2013
1050590	2013
1049199	2013
1051712	2013
1055783	2013
134744	2013
1046361	2013
153818	2013
1048413	2013
1048237	2013
1058899	2013
1049213	2013
1051466	2013
518043	2013
1112831	2013
1050096	2013
1050335	2013
516412	2013
1050916	2013
1051682	2013
143392	2013
1048250	2013
1050475	2013
442269	2013
1051546	2013
135408	2013
1050089	2013
444865	2013
1049512	2013
1062784	2013
1048471	2013
1052278	2013
1028474	2013
1051545	2013
1049539	2013
1051584	2013
1051642	2013
1049521	2013
1050557	2013
1051067	2013
138246	2013
1052174	2013
1050320	2013
1050653	2013
1051056	2013
1060505	2013
1051570	2013
306411	2013
1046248	2013
458597	2013
1050119	2013
1051498	2013
152859	2013
151437	2013
1050469	2013
407315	2013
1050764	2013
1048425	2013
155405	2013
419926	2013
517980	2013
1047794	2013
1048601	2013
450631	2013
1356940	2016
1046343	2014
1255230	2014
1050492	2013
1237664	2014
1049804	2015
1051327	2013
1049447	2013
449654	2013
1050376	2013
273208	2013
1142063	2013
1049432	2013
1050355	2013
122521	2013
1050625	2013
1061623	2013
237951	2013
1049366	2013
410932	2013
1047353	2013
1047610	2013
1049771	2013
1049435	2013
1063773	2013
1048620	2013
1050956	2013
1047197	2013
1058902	2013
1078925	2013
1049526	2013
1050845	2013
518677	2013
444854	2013
1049236	2013
1050595	2013
1050656	2013
1080432	2013
1050767	2013
1304975	2014
143144	2013
144307	2013
1049031	2013
1050551	2013
1048530	2013
434985	2013
1050254	2013
509246	2013
1046326	2013
1048849	2013
1050919	2013
1052021	2013
1047318	2013
1047345	2013
1064745	2013
1051553	2013
1048734	2013
1051092	2013
1051515	2013
1125951	2013
1063016	2013
1052188	2013
1047129	2013
1048689	2013
1052253	2013
156341	2013
1051325	2013
520657	2013
1049541	2013
453902	2013
1047687	2013
1050414	2013
1049258	2013
1050973	2013
1050511	2013
1051094	2013
146696	2013
1127561	2013
159031	2013
1047705	2013
1050955	2013
1300683	2014
1048592	2013
1077093	2014
363741	2013
516321	2013
523407	2013
1050976	2013
136193	2013
140736	2013
1049340	2013
1049603	2013
362487	2013
1082668	2013
143610	2013
1049138	2013
1062494	2013
154898	2013
270866	2013
1049975	2013
1061380	2013
508163	2013
1048315	2013
157706	2013
1050362	2013
1051550	2013
CINFO108	2013
1051652	2013
442247	2013
362578	2013
1051589	2013
1049818	2016
383760	2013
319739	2013
1050752	2013
434974	2013
529821	2013
1051059	2013
451827	2013
1050711	2013
1047552	2013
149211	2013
1050314	2013
518418	2013
151971	2013
1058188	2013
1049162	2013
155744	2013
508629	2013
1047679	2013
1047834	2013
137210	2013
1051109	2013
1066537	2013
1048217	2016
1050924	2013
143982	2013
517856	2013
1051052	2013
126167	2013
376018	2013
137764	2013
369668	2013
1047185	2013
1047611	2013
1062006	2013
509461	2013
1050262	2013
1050418	2013
153603	2013
139409	2013
1047653	2013
1049025	2013
1106183	2013
1050954	2013
458316	2013
289591	2013
1326464	2016
437076	2013
503545	2013
1050208	2013
1049235	2013
1051661	2014
143712	2013
1002846	2013
516230	2013
1131769	2014
1049294	2013
1048422	2013
138858	2013
155165	2013
504344	2013
520726	2013
1047786	2013
1049991	2013
1049204	2013
1081430	2014
1106196	2013
1048220	2016
1050482	2013
1052485	2013
1048609	2013
1047655	2013
1048686	2013
160904	2013
1047625	2013
1050636	2013
1051435	2013
138011	2013
1050517	2013
153241	2013
1077183	2013
1047569	2013
1051511	2013
143632	2013
446929	2013
1050454	2013
1050457	2014
506248	2013
144497	2013
1050121	2013
1049023	2013
140259	2013
1056532	2013
1050342	2013
1080219	2013
444355	2013
1052667	2013
1050275	2013
1051261	2013
447080	2013
150955	2013
1049418	2013
1051079	2013
142196	2013
1047338	2013
1049466	2013
1047719	2013
1109292	2013
1049994	2013
1051919	2013
1050160	2013
1089103	2013
125299	2013
1049237	2016
1050334	2013
1049532	2013
407348	2013
1050828	2013
508174	2013
458564	2013
1047308	2014
1049221	2013
1051242	2013
305381	2013
1046230	2013
1240814	2014
121979	2013
516445	2013
1046274	2013
1058101	2013
135463	2013
312966	2013
140430	2013
1050392	2013
1323291	2015
135827	2013
135441	2013
508196	2013
511463	2013
1050073	2013
1057688	2013
450926	2013
1048942	2013
1050532	2013
446501	2013
147611	2013
200125040	2013
1049968	2015
1262666	2014
1051651	2013
1047124	2013
1049644	2013
1088521	2013
122632	2013
1050784	2013
1050632	2013
1048927	2013
1049448	2013
1050669	2013
1322528	2015
1049795	2013
1049946	2013
1048042	2016
1243637	2014
140995	2013
1050204	2013
513083	2013
1051510	2013
1062567	2013
1112327	2013
1050357	2013
1048225	2013
1051197	2013
1051686	2013
1048565	2013
1051483	2013
1050344	2013
1050826	2013
1109120	2013
1046273	2013
1047525	2013
1087508	2013
362603	2013
416451	2013
158094	2013
1049459	2013
506882	2013
1048304	2013
1050605	2013
152666	2013
1063054	2013
1049494	2014
1049015	2013
1047672	2013
1125953	2013
1048821	2013
287723	2013
1050500	2013
1050468	2013
1050908	2013
1048472	2013
1049455	2013
1047545	2013
1049212	2013
1050814	2013
1052481	2013
518870	2013
1050487	2013
1047791	2013
368858	2013
1110067	2013
1047303	2013
1048542	2013
1055426	2013
1046365	2013
1050332	2013
138951	2013
1050425	2013
1051928	2013
1051685	2013
1048651	2013
458451	2013
1048198	2016
1049331	2013
1063739	2013
449687	2013
1294871	2014
160551	2013
1049826	2014
1050077	2013
1050772	2013
1048817	2013
1050474	2013
1078723	2013
139839	2013
1083699	2013
139737	2013
1051597	2013
1049226	2013
1046342	2013
1049454	2013
CINFO103	2013
1075321	2014
1050634	2013
1051244	2013
1051647	2013
1051561	2013
1056386	2013
1258571	2014
1047682	2013
1049179	2013
1051161	2013
1052421	2013
449951	2013
1048485	2013
1057677	2013
1051417	2013
375988	2013
1047709	2013
1055797	2013
1050270	2013
1048822	2013
1089939	2013
510609	2013
517845	2013
1057408	2013
140849	2013
1050289	2014
200125652	2013
517470	2013
1047690	2013
1052177	2013
1116629	2013
1050259	2013
145274	2013
385267	2013
444752	2013
1047825	2016
518001	2013
1051502	2013
1050718	2013
1056801	2013
1048039	2013
1050403	2013
1050933	2013
352789	2013
1047802	2013
1049996	2013
309881	2013
1050478	2013
129243	2014
CCHITR517	2013
1048218	2016
1047132	2013
1050740	2013
1082030	2013
1046381	2013
1062671	2013
375092	2013
1047316	2013
436381	2013
1300999	2014
1048607	2013
1048861	2013
1050054	2013
458247	2013
1048303	2013
1047516	2013
1049312	2013
1049805	2016
1373582	2016
1078983	2013
1051456	2013
410987	2013
1050171	2013
1048916	2013
1325442	2015
314826	2013
MERSKY	2013
1051050	2013
361407	2013
1293661	2014
1049160	2013
1049990	2013
1050064	2014
148501	2013
295958	2013
1300281	2014
1048691	2013
136149	2013
142389	2013
1048474	2013
1047717	2013
1051513	2013
125754	2013
200124219	2013
1048231	2013
1125986	2013
136615	2013
1050811	2013
1058900	2014
155449	2013
316242	2013
1050046	2013
1056528	2013
1109283	2013
1051892	2014
1078720	2013
1109119	2013
1050349	2013
1048532	2013
1050668	2013
1057957	2013
363721	2013
1047602	2013
1047355	2013
1051926	2013
319397	2013
1050109	2013
1054163	2013
1072683	2013
1050252	2013
1051125	2013
1046314	2013
1050290	2013
1050176	2013
1050843	2013
141116	2013
1028539	2013
1047320	2013
1047515	2013
1234031	2013
138031	2013
1049330	2013
1050572	2013
1083762	2013
1114934	2013
145547	2013
374761	2013
1050322	2013
1050917	2014
1047620	2013
1280373	2014
1052491	2013
1048236	2013
139475	2013
1051503	2013
155493	2013
1049392	2013
1049422	2013
1050319	2013
1047701	2013
1051525	2013
417465	2013
1057691	2013
448152	2013
1051585	2013
445165	2013
1049436	2013
1048547	2013
1050678	2013
1051699	2013
1078514	2013
1050763	2013
457528	2013
1117319	2013
1051324	2013
1052165	2013
1051163	2013
160303	2013
356043	2013
442837	2013
1048923	2013
1050709	2013
1051867	2013
405116	2013
1052420	2013
515136	2013
1062770	2013
156851	2013
124401	2013
1050481	2013
452138	2013
1048841	2013
516955	2013
141661	2013
1048910	2013
1050312	2013
1048655	2013
1050606	2013
522324	2013
447342	2013
1050193	2013
1054157	2013
CC4GOOGLE	2013
1049338	2013
1051514	2013
1294889	2014
451339	2014
1048585	2013
CINFO106	2013
141182	2013
441459	2013
1046254	2013
1052281	2013
1051619	2013
1387954	2016
519895	2013
1062572	2013
1047518	2013
